Player,POS,GP,Total EPA,EPA per Game,EPA per Play ( all plays contributed ),EPA per Play ( all offense ),Total Passing EPA,EPA per Completion,EPA per Attempt,Rushing EPA,EPA per Carry,Receiving EPA,EPA per Reception,EPA per Target
Ja'Marr Chase,WR,16,57.73,3.6081,0.3874,0.0426,-2.0742,-2.0742,-2.0742,-2.66,-0.8872,62.47,0.6247,0.4308
Rashee Rice,WR,19,54.82,2.8852,0.4283,0.0342,0.0000,0.0000,0.0000,-2.16,-2.1649,56.98,0.5756,0.4487
Khalil Shakir,WR,18,54.62,3.0345,0.9417,0.0349,0.0000,0.0000,0.0000,0.66,0.6643,53.96,1.1012,0.9466
Deebo Samuel,WR,17,53.78,3.1633,0.3814,0.0367,-0.4813,0.0000,-0.4813,9.38,0.2345,44.88,0.6411,0.4488
Romeo Doubs,WR,19,50.30,2.6476,0.4658,0.0336,0.0000,0.0000,0.0000,0.00,0.0000,50.30,0.7291,0.4658
Amari Cooper,WR,16,49.88,3.1173,0.3750,0.0313,0.0000,0.0000,0.0000,0.00,0.0000,49.88,0.6563,0.3750
Sam LaPorta,TE,20,49.81,2.4907,0.3366,0.0298,0.0000,0.0000,0.0000,0.22,0.2152,49.60,0.4635,0.3374
Baker Mayfield,QB,19,49.40,2.6001,0.0697,0.0326,61.9869,0.1505,0.0964,-12.59,-0.1907,0.00,0.0000,0.0000
Chris Godwin,WR,19,49.02,2.5800,0.3312,0.0324,-0.6215,0.0000,-0.6215,3.07,0.7673,46.57,0.5118,0.3257
Jaylen Waddle,WR,15,45.68,3.0451,0.4042,0.0321,0.0000,0.0000,0.0000,0.22,0.0540,45.46,0.6143,0.4171
DK Metcalf,WR,16,42.33,2.6455,0.3557,0.0322,0.0000,0.0000,0.0000,0.00,0.0000,42.33,0.6413,0.3557
Jake Browning,QB,9,41.68,4.6313,0.1538,0.0308,34.1096,0.1995,0.1404,9.65,0.3573,-2.07,-2.0742,-2.0742
Stefon Diggs,WR,19,41.65,2.1919,0.2327,0.0266,0.0000,0.0000,0.0000,1.58,0.7901,40.07,0.3424,0.2264
Kirk Cousins,QB,8,41.12,5.1398,0.1265,0.0301,39.3025,0.1820,0.1264,1.82,0.1297,0.00,0.0000,0.0000
Justin Herbert,QB,13,40.46,3.1124,0.0795,0.0288,31.5585,0.1063,0.0692,7.09,0.1363,1.81,1.8141,1.8141
Jake Ferguson,TE,18,40.24,2.2354,0.3530,0.0263,0.0000,0.0000,0.0000,0.00,0.0000,40.24,0.4968,0.3530
Chris Olave,WR,16,39.54,2.4710,0.2865,0.0278,0.0000,0.0000,0.0000,0.00,0.0000,39.54,0.4544,0.2865
Justin Jefferson,WR,10,39.49,3.9485,0.3871,0.0289,-0.4189,0.0000,-0.4189,-1.93,-1.9344,41.84,0.6153,0.4184
DeVonta Smith,WR,17,38.92,2.2896,0.3139,0.0263,0.0000,0.0000,0.0000,0.00,0.0000,38.92,0.4373,0.3139
Jayden Reed,WR,18,38.64,2.1465,0.3419,0.0258,0.0000,0.0000,0.0000,6.34,0.5283,32.30,0.4749,0.3198
Tyler Lockett,WR,17,38.03,2.2369,0.3117,0.0289,0.0000,0.0000,0.0000,0.00,0.0000,38.03,0.4814,0.3117
Brandin Cooks,WR,17,33.11,1.9476,0.3485,0.0217,0.0000,0.0000,0.0000,1.90,0.3164,31.21,0.5202,0.3507
Kalif Raymond,WR,17,33.11,1.9474,0.6491,0.0198,0.0000,0.0000,0.0000,3.32,0.4738,29.79,0.8511,0.6770
Cole Kmet,TE,15,32.70,2.1800,0.3516,0.0236,0.0000,0.0000,0.0000,0.63,0.2099,32.07,0.4393,0.3563
Dontayvion Wicks,WR,17,32.59,1.9168,0.5092,0.0218,0.8287,0.8287,0.8287,-0.42,-0.4244,32.18,0.7849,0.5191
T.J. Hockenson,TE,15,32.58,2.1718,0.2565,0.0238,0.0000,0.0000,0.0000,0.00,0.0000,32.58,0.3429,0.2565
Zay Flowers,WR,18,32.12,1.7843,0.2452,0.0208,0.0000,0.0000,0.0000,3.36,0.3357,28.76,0.3344,0.2377
Mark Andrews,TE,11,32.05,2.9137,0.5008,0.0208,0.0000,0.0000,0.0000,-1.57,-1.5737,33.62,0.7154,0.5337
Isaiah Likely,TE,15,31.59,2.1061,0.6868,0.0205,0.0000,0.0000,0.0000,0.00,0.0000,31.59,0.9292,0.6868
Devon Achane,RB,12,30.29,2.5242,0.1993,0.0213,-1.4337,0.0000,0.0000,31.15,0.2858,0.58,0.0192,0.0134
Dalton Schultz,TE,17,29.98,1.7638,0.3091,0.0196,0.0000,0.0000,0.0000,0.00,0.0000,29.98,0.4613,0.3091
Calvin Ridley,WR,17,29.75,1.7497,0.2051,0.0209,0.0000,0.0000,0.0000,-3.25,-0.3607,32.99,0.4341,0.2426
Tee Higgins,WR,12,29.27,2.4389,0.3851,0.0216,0.0000,0.0000,0.0000,0.00,0.0000,29.27,0.6968,0.3851
Tank Dell,WR,10,29.26,2.9262,0.3403,0.0191,-0.7774,0.0000,0.0000,-0.25,-0.0224,30.29,0.6444,0.4038
Jameson Williams,WR,15,28.65,1.9097,0.5208,0.0171,0.0000,0.0000,0.0000,6.59,1.6477,22.05,0.7352,0.4324
Darius Slayton,WR,17,28.56,1.6800,0.3615,0.0209,0.0000,0.0000,0.0000,0.00,0.0000,28.56,0.5712,0.3615
Josh Downs,WR,17,28.06,1.6506,0.2863,0.0197,0.0000,0.0000,0.0000,0.00,0.0000,28.06,0.4127,0.2863
Michael Pittman,WR,16,26.58,1.6612,0.1704,0.0187,0.0000,0.0000,0.0000,0.00,0.0000,26.58,0.2438,0.1704
Jordan Addison,WR,17,25.90,1.5236,0.2376,0.0190,0.0000,0.0000,0.0000,-0.45,-0.4518,26.35,0.3765,0.2440
Wan'Dale Robinson,WR,15,25.49,1.6990,0.2929,0.0186,0.0000,0.0000,0.0000,4.87,0.5407,20.62,0.3437,0.2644
Diontae Johnson,WR,14,25.28,1.8058,0.2689,0.0181,0.0000,0.0000,0.0000,0.00,0.0000,25.28,0.4597,0.2689
George Pickens,WR,18,24.84,1.3799,0.2053,0.0178,0.0000,0.0000,0.0000,1.71,0.4277,23.13,0.3401,0.1977
Courtland Sutton,WR,16,23.89,1.4933,0.2655,0.0179,0.0000,0.0000,0.0000,0.00,0.0000,23.89,0.4050,0.2655
Odell Beckham,WR,16,23.71,1.4821,0.3340,0.0154,0.0000,0.0000,0.0000,0.00,0.0000,23.71,0.6081,0.3340
Brevin Jordan,TE,11,22.88,2.0799,0.9947,0.0150,0.0000,0.0000,0.0000,0.00,0.0000,22.88,1.2710,0.9947
Jakobi Meyers,WR,16,22.12,1.3824,0.1957,0.0171,0.9287,0.4643,0.3096,2.67,0.6664,18.52,0.2609,0.1748
Christian Kirk,WR,12,22.05,1.8379,0.2506,0.0155,-1.6030,-1.6030,-0.8015,-0.65,-0.6451,24.30,0.4264,0.2859
Demarcus Robinson,WR,9,21.58,2.3977,0.4691,0.0146,0.0000,0.0000,0.0000,1.35,1.3458,20.23,0.6977,0.4496
Christian McCaffrey,RB,18,21.56,1.1975,0.0527,0.0147,0.0000,0.0000,0.0000,18.44,0.0597,3.12,0.0400,0.0312
Gabe Davis,WR,16,21.35,1.3344,0.2604,0.0136,0.0000,0.0000,0.0000,-0.89,-0.8919,22.24,0.4943,0.2746
Geno Smith,QB,15,20.56,1.3710,0.0383,0.0156,27.3573,0.0847,0.0548,-5.41,-0.1461,-1.39,-1.3874,-1.3874
Chris Moore,WR,15,20.53,1.3688,0.5549,0.0155,0.0000,0.0000,0.0000,1.98,0.9899,18.55,0.8433,0.5301
Brandon Johnson,WR,10,20.21,2.0212,0.6737,0.0151,0.0000,0.0000,0.0000,0.00,0.0000,20.21,1.0638,0.6737
Nick Westbrook-Ikhine,WR,13,20.07,1.5440,0.4460,0.0151,0.0000,0.0000,0.0000,0.00,0.0000,20.07,0.7169,0.4460
DeAndre Hopkins,WR,17,19.98,1.1751,0.1427,0.0151,-0.3894,0.0000,-0.3894,0.21,0.1039,20.16,0.2688,0.1471
Aaron Jones,RB,13,19.68,1.5135,0.0852,0.0131,0.0000,0.0000,0.0000,14.01,0.0774,5.66,0.1665,0.1132
Trenton Irwin,WR,10,19.61,1.9611,0.6128,0.0145,0.0000,0.0000,0.0000,0.00,0.0000,19.61,0.7844,0.6128
Durham Smythe,TE,14,19.57,1.3979,0.4164,0.0137,0.0000,0.0000,0.0000,0.00,0.0000,19.57,0.5150,0.4164
Noah Brown,WR,11,19.37,1.7611,0.3399,0.0127,0.0000,0.0000,0.0000,-1.08,-1.0775,20.45,0.6197,0.3652
Luke Musgrave,TE,13,19.34,1.4877,0.3649,0.0129,0.0000,0.0000,0.0000,0.00,0.0000,19.34,0.4835,0.3649
Kavontae Turpin,WR,12,19.21,1.6012,0.6625,0.0126,0.0000,0.0000,0.0000,7.24,0.6582,11.97,0.9978,0.6652
Taysom Hill,QB,16,19.16,1.1978,0.1452,0.0135,1.3962,0.2327,0.1269,8.34,0.1030,9.43,0.2857,0.2357
A.T. Perry,WR,8,18.88,2.3594,1.0486,0.0133,0.0000,0.0000,0.0000,0.00,0.0000,18.88,1.5730,1.0486
Donald Parham,TE,13,18.84,1.4494,0.4596,0.0134,0.0000,0.0000,0.0000,0.00,0.0000,18.84,0.6978,0.4596
Hunter Henry,TE,13,18.79,1.4457,0.3081,0.0143,0.0000,0.0000,0.0000,0.00,0.0000,18.79,0.4475,0.3081
Keaton Mitchell,RB,7,18.79,2.6838,0.3239,0.0122,0.0000,0.0000,0.0000,16.08,0.3422,2.70,0.3005,0.2459
Nelson Agholor,WR,18,18.64,1.0357,0.3585,0.0121,0.0000,0.0000,0.0000,0.00,0.0000,18.64,0.4906,0.3585
Josh Reynolds,WR,19,18.64,0.9811,0.2390,0.0111,0.0000,0.0000,0.0000,0.00,0.0000,18.64,0.3884,0.2390
Jacoby Brissett,QB,2,18.21,9.1069,0.7005,0.0132,16.9699,0.9428,0.7378,1.24,0.4146,0.00,0.0000,0.0000
Dalton Kincaid,TE,18,18.13,1.0072,0.1777,0.0116,0.0000,0.0000,0.0000,0.00,0.0000,18.13,0.2238,0.1777
Alec Pierce,WR,17,17.79,1.0467,0.2737,0.0125,0.0000,0.0000,0.0000,0.00,0.0000,17.79,0.5560,0.2737
